Structure,Operation,N,Time_ns
HashTableList,insert,5000,157
HashTableList,find,5000,14
HashTableList,remove,5000,88
HashTableAVL,insert,5000,164
HashTableAVL,find,5000,15
HashTableAVL,remove,5000,102
HashTableLinear,insert,5000,87
HashTableLinear,find,5000,7
HashTableLinear,remove,5000,10
HashTableList,insert,10000,176
HashTableList,find,10000,19
HashTableList,remove,10000,111
HashTableAVL,insert,10000,177
HashTableAVL,find,10000,17
HashTableAVL,remove,10000,107
HashTableLinear,insert,10000,76
HashTableLinear,find,10000,8
HashTableLinear,remove,10000,12
HashTableList,insert,20000,158
HashTableList,find,20000,19
HashTableList,remove,20000,119
HashTableAVL,insert,20000,171
HashTableAVL,find,20000,17
HashTableAVL,remove,20000,121
HashTableLinear,insert,20000,70
HashTableLinear,find,20000,9
HashTableLinear,remove,20000,13
HashTableList,insert,40000,163
HashTableList,find,40000,21
HashTableList,remove,40000,137
HashTableAVL,insert,40000,215
HashTableAVL,find,40000,27
HashTableAVL,remove,40000,149
HashTableLinear,insert,40000,78
HashTableLinear,find,40000,9
HashTableLinear,remove,40000,13
HashTableList,insert,80000,177
HashTableList,find,80000,23
HashTableList,remove,80000,138
HashTableAVL,insert,80000,189
HashTableAVL,find,80000,21
HashTableAVL,remove,80000,153
HashTableLinear,insert,80000,79
HashTableLinear,find,80000,14
HashTableLinear,remove,80000,14
HashTableList,insert,160000,356
HashTableList,find,160000,54
HashTableList,remove,160000,350
HashTableAVL,insert,160000,330
HashTableAVL,find,160000,41
HashTableAVL,remove,160000,328
HashTableLinear,insert,160000,78
HashTableLinear,find,160000,17
HashTableLinear,remove,160000,16
HashTableList,insert,320000,322
HashTableList,find,320000,53
HashTableList,remove,320000,323
HashTableAVL,insert,320000,330
HashTableAVL,find,320000,40
HashTableAVL,remove,320000,317
HashTableLinear,insert,320000,88
HashTableLinear,find,320000,26
HashTableLinear,remove,320000,28
HashTableList,insert,640000,376
HashTableList,find,640000,65
HashTableList,remove,640000,387
HashTableAVL,insert,640000,341
HashTableAVL,find,640000,40
HashTableAVL,remove,640000,320
HashTableLinear,insert,640000,46
HashTableLinear,find,640000,14
HashTableLinear,remove,640000,15
